CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Geography,Gender,Exited
452,66,1,84566.8764986246,1,1,1,142041.09267517907,Germany,Male,1
785,28,2,232020.91008151244,1,1,1,117804.27938965394,France,Female,1
698,38,4,56153.90296096298,3,1,1,161286.28579671355,Spain,Male,1
620,43,7,93041.75595937834,1,0,0,149654.78537606643,Spain,Male,1
456,42,9,108019.220736049,3,1,0,125920.50518688458,France,Female,0
421,39,6,109851.24742361305,1,1,1,102753.75830905467,Germany,Female,0
538,76,6,153234.89562363137,2,1,1,35304.603876829446,Spain,Female,0
370,44,6,235768.9594361769,3,0,0,59653.27339822292,Germany,Male,0
452,66,7,60173.17795812624,3,0,0,89628.8998542462,Spain,Female,1
471,30,0,30375.344075229517,1,1,0,123866.86453121385,France,Male,0
816,50,3,49367.62246498433,3,0,0,107604.49249090791,Germany,Male,1
564,51,5,221731.22505231737,3,0,0,64755.0599323106,Germany,Male,0
680,58,8,161452.7031638015,2,0,1,11228.227980045005,Germany,Female,0
808,52,1,71476.69730979003,2,1,0,104285.45216115465,Spain,Male,0
437,18,0,203986.7347421543,1,1,1,64268.937826826186,Spain,Female,0
722,38,9,215342.499090859,2,0,1,149575.57713500166,Spain,Female,1
449,65,1,211628.5846725695,1,0,0,14549.790401391863,France,Female,1
709,72,6,229731.6334098886,1,0,0,121117.28414810027,Spain,Female,1
501,23,2,63060.255043340396,1,1,1,188880.10512615243,France,Female,1
480,45,9,188760.48218656957,3,1,0,43137.760751184906,Germany,Male,0
499,34,1,115134.874318535,2,0,1,99613.40324261312,Germany,Male,0
658,22,6,210499.63822251538,1,0,0,27370.178445256253,France,Male,1
607,48,1,182122.6692904033,2,0,0,128879.563329657,Spain,Male,1
693,22,2,194111.86162493116,1,0,0,114601.01931328286,France,Male,0
841,55,6,164040.45942026787,2,1,1,87399.44960043815,Germany,Female,0
763,20,3,44357.19236742672,2,0,0,109061.63408001083,Germany,Female,1
643,70,0,136256.72972423458,1,1,1,180349.18510911195,France,Male,1
735,40,4,246167.43488112706,3,0,0,47295.91743910273,Spain,Male,1
541,54,8,234347.01662427973,2,0,1,14287.257224015975,Spain,Male,0
793,70,7,10793.433949252918,3,0,0,173716.32809282918,France,Female,1
626,54,8,41203.70393235928,3,0,1,119652.24565370224,France,Female,1
510,27,9,32932.19336364048,1,0,1,179225.10653775005,Spain,Female,1
809,27,8,181494.97749632387,1,1,1,123419.5924485028,Germany,Male,1
663,36,6,204446.33246423627,1,0,1,163930.60709234347,France,Male,1
371,34,3,53377.841577667976,2,0,1,91637.9390374781,Spain,Male,0
602,38,4,126463.17323795725,1,0,1,152473.38694477107,Spain,Male,1
585,31,0,210175.7570028,1,1,0,183477.87870907263,Germany,Female,0
694,26,0,183200.38619156263,2,1,1,118703.3631072192,Germany,Male,1
398,63,2,135559.30137296207,2,1,1,44349.17860685211,Germany,Male,1
824,18,7,147586.92261469323,1,1,1,61071.54685573765,Germany,Male,1
408,68,1,127090.13672906999,1,0,0,47742.4696105071,Germany,Female,0
519,62,3,74387.11282970515,1,0,0,56902.835243189256,France,Female,0
825,30,1,141255.498214754,1,0,0,68218.93537669691,Spain,Male,0
537,21,4,172221.3255125227,3,1,1,115475.41948310581,France,Female,1
813,79,8,218330.7289652019,3,0,0,121718.40959812823,France,Female,1
620,18,0,159072.83849481202,1,0,0,91034.95197595362,France,Female,0
539,66,4,190280.3842607895,3,1,1,126929.94816595873,France,Female,0
795,57,8,40017.90873864325,2,1,1,25499.235866159524,France,Female,1
524,49,0,115389.36860494748,3,1,0,26679.765041050396,Germany,Male,0
795,51,8,2332.904956773324,3,0,1,42647.59746795511,Germany,Male,1
400,45,7,61669.71613040575,1,0,1,108434.7246276655,Spain,Male,0
713,48,3,181615.4287782512,3,1,1,50658.98895267958,France,Female,0
404,25,9,247952.48783734086,3,0,1,63824.03666358969,Spain,Female,0
593,56,4,24794.524896803978,3,1,0,86059.43887286888,Germany,Female,1
669,43,4,100373.57896532206,3,1,1,164254.56356197217,Germany,Female,1
480,75,5,200017.74217478986,2,0,0,12633.805823443423,Germany,Male,0
834,51,6,51008.90865722471,1,1,0,133381.97584495824,France,Male,1
656,71,7,138771.23732557156,1,1,0,137086.5408977302,France,Male,1
484,71,7,183267.8240074187,2,1,0,161744.59826776094,Germany,Male,1
370,20,1,153996.36256504475,3,0,1,187223.05842145951,Spain,Male,1
678,76,8,47006.18365385403,2,1,1,13826.191300365068,Spain,Male,0
516,67,6,88846.14217143485,3,1,1,39218.904047511074,Germany,Female,1
623,29,3,195947.9461213493,2,1,0,178372.54587063869,Spain,Female,1
737,18,3,138556.62853300414,1,1,0,97118.52681553292,Germany,Male,0
438,71,7,1307.403385728184,1,1,0,117272.22139735807,Spain,Female,1
665,61,3,190247.69000702346,1,1,1,135975.168707398,Germany,Male,1
363,22,5,8827.838735059768,3,1,0,139022.6548541711,Spain,Male,1
591,47,4,186433.44568280803,3,0,1,187030.67663013656,France,Female,0
614,47,2,50620.14004130935,2,0,1,199420.38930821724,Germany,Male,0
695,76,9,239518.37002984504,2,1,1,146829.91757687865,Germany,Male,1
402,74,1,91985.18782552112,1,0,1,64572.02974897865,Spain,Male,1
735,34,8,81732.90408451977,3,0,0,177152.95643592527,Germany,Female,0
689,65,9,37222.01258311117,2,1,1,19351.973762744707,Germany,Female,0
441,64,8,76401.05387255372,3,0,0,53905.36204615428,Germany,Female,0
716,40,0,219162.69045705014,3,1,1,180503.28631810582,France,Female,1
793,32,9,249083.58440681183,1,1,0,58676.38774347744,France,Male,1
804,54,2,92077.38262671209,1,1,0,51923.70132813221,Spain,Female,0
777,38,7,112152.65773863564,3,1,1,36243.805696646974,France,Female,1
613,31,5,180517.73455068425,3,1,1,173231.23395291413,Spain,Female,1
780,19,4,221548.94511626862,3,0,1,105011.06924630648,France,Male,1
384,28,4,148261.08354669603,3,1,0,138229.7085802894,Spain,Female,1
555,68,5,97881.42454445733,1,0,1,55422.61297425564,France,Female,1
430,56,6,103155.46021215593,2,1,1,154027.67999213113,France,Male,1
769,55,0,173904.53662420172,1,1,0,154401.0535427987,Spain,Male,1
399,77,8,804.5659010696704,2,1,1,69393.62473257702,Germany,Male,0
709,51,2,154897.33436496017,3,0,0,88029.70027195374,Germany,Male,0
737,55,3,88873.25261033935,2,1,1,49841.15271173816,France,Female,0
351,67,9,198549.33281927108,1,1,0,195546.5944313518,Spain,Male,0
739,51,0,23247.65995578304,1,1,0,132664.48964109822,Germany,Female,0
403,35,9,147050.56673709763,3,1,1,187563.33733594796,Spain,Female,0
455,47,2,120243.22247153094,1,0,0,67643.2532895353,Germany,Female,0
609,32,1,160581.38147630685,3,1,1,158559.27346940906,Spain,Female,0
659,44,1,16213.398620742086,1,0,1,155513.142338101,France,Female,0
826,68,0,144995.94685703283,1,1,0,141414.5738546429,Spain,Male,1
540,51,7,140371.14698988092,3,0,1,193471.40530069207,Germany,Female,1
751,69,2,140165.02360404274,2,0,0,84775.51386019995,France,Female,0
567,74,2,150871.9166491137,1,1,0,34836.291482053886,Spain,Female,1
393,55,5,169116.98430659054,2,1,0,137624.68325637156,Germany,Male,1
511,50,7,201247.24992019244,1,0,0,148568.86209066916,France,Female,0
551,41,8,67455.18003205358,1,1,0,119261.50895717478,Spain,Female,0
795,32,8,206262.3525450155,1,1,0,49295.39969534529,Germany,Male,0
833,77,3,124563.9205658634,1,1,0,105846.62891717751,Spain,Female,1
619,47,4,19264.569783582792,2,0,0,69316.04994813459,Spain,Female,1
700,72,1,14637.7323109948,2,1,1,91218.64035167093,France,Male,0
653,59,8,83559.5796740152,1,1,1,132591.52941048614,France,Female,1
620,68,7,196224.24427786688,1,1,0,151590.80111125857,Germany,Female,1
805,34,2,176920.23368522894,2,0,1,54122.69127125519,France,Female,1
811,22,8,197153.7411681016,3,1,1,87011.81852292114,Germany,Female,0
564,46,2,129317.26411040234,3,0,1,61140.698488409544,Spain,Female,1
601,21,8,110049.74948887264,2,1,1,47740.00663375513,Spain,Male,1
539,27,1,36863.131676570985,1,0,1,158843.57179920928,Germany,Male,1
645,73,9,82048.18840232788,1,1,1,182758.01194302857,Spain,Male,1
562,34,8,108504.84154346882,3,1,0,80344.11528006957,France,Female,1
557,27,7,22150.107419904307,3,0,1,152742.9956310157,Spain,Female,1
586,34,8,55152.988177802814,2,0,1,180429.1049792381,France,Female,1
687,77,4,149556.3235159347,3,0,1,170763.600000744,Germany,Male,0
716,37,1,183915.77855979747,2,1,1,44734.54382245292,Germany,Female,0
402,41,7,249586.8778482374,3,1,0,191695.45748753866,Spain,Female,1
629,22,5,233278.33283588942,3,1,0,81568.52368159787,Spain,Female,0
759,51,7,160641.29988379788,3,1,0,74455.7256230289,France,Male,1
566,23,4,105312.013323518,1,0,0,21861.952182778263,France,Male,1
601,70,9,159044.34117705817,1,1,1,102372.99427992776,Spain,Female,1
537,19,1,196412.904520058,1,1,0,30712.586971776454,Spain,Female,0
729,30,5,29584.04773084683,3,1,0,57222.565976210935,Germany,Female,1
842,79,4,102476.22242407207,2,1,0,70219.09813578347,Germany,Male,1
390,60,4,209950.5714089043,2,1,0,163677.00146341996,Germany,Male,0
506,60,0,95958.237983261,2,1,1,176342.84357522035,Spain,Male,0
364,65,1,142968.06780679664,2,1,0,67468.60031767924,Spain,Female,1
650,28,7,146942.34021554954,1,0,1,173152.64303646903,Spain,Male,0
414,68,2,46119.063283409836,1,1,0,172873.8781002603,Germany,Female,0
694,64,9,90558.86041307209,3,1,1,155283.68057312598,Spain,Female,1
676,74,2,83627.82218548303,3,1,1,37872.07166288449,France,Male,1
358,40,7,6549.177133016198,2,1,0,141161.3409111385,Spain,Female,1
693,72,7,6047.940972838811,1,0,0,189554.57227030807,Spain,Male,0
478,33,1,207924.26091894336,2,0,0,139682.69096575983,Spain,Female,0
841,48,7,68267.7024932031,3,0,0,73007.20133048845,Spain,Female,0
485,28,0,129519.69155970386,3,0,1,105110.07031185794,Spain,Male,1
821,71,5,74681.39339719326,2,0,1,132687.7582367002,France,Female,0
412,33,7,235169.8112788351,3,0,0,107008.37765841567,France,Female,0
488,25,2,64824.189716443434,2,1,0,32791.05892888427,Spain,Female,1
848,21,7,107414.20318473376,1,0,1,69292.16848388393,Germany,Female,1
430,57,0,218182.56262115046,2,0,0,162455.24580519018,Spain,Female,1
